Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.74426,1556.30594,1551.25928,1550.6018
1502319972.22976,1552.97782,521.924

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)

Fiber 1,1502319972.2297602,248.774,1553.74426,-10.502
Fiber 2,1502319972.2297602,248.774,1556.30594,-9.384
Fiber 3,1502319972.2297602,248.774,1551.25928,-15.406
Fiber 4,1502319972.2297602,248.774,1550.6018,-19.474


Fiber 1,1502319991.2397869,248.7735,1553.74438,-10.5
Fiber 2,1502319991.2397869,248.7735,1556.30606,-9.406
Fiber 3,1502319991.2397869,248.7735,1551.25834,-15.34
Fiber 4,1502319991.2397869,248.7735,1550.6022,-19.428


Fiber 1,1502320009.229812,248.773,1553.74462,-10.504
Fiber 2,1502320009.229812,248.773,1556.30586,-9.408
Fiber 3,1502320009.229812,248.773,1551.25962,-15.376
Fiber 4,1502320009.229812,248.773,1550.60282,-19.472


Fiber 1,1502320026.7198365,248.774,1553.74486,-10.548
Fiber 2,1502320026.7198365,248.774,1556.30544,-9.432
Fiber 3,1502320026.7198365,248.774,1551.25948,-15.366
Fiber 4,1502320026.7198365,248.774,1550.6028,-19.452


Fiber 1,1502320044.7298617,248.774,1553.74474,-10.538
Fiber 2,1502320044.7298617,248.774,1556.3054,-9.454
Fiber 3,1502320044.7298617,248.774,1551.2593,-15.284
Fiber 4,1502320044.7298617,248.774,1550.60248,-19.46


Fiber 1,1502320063.7298882,248.774,1553.74454,-10.496
Fiber 2,1502320063.7298882,248.774,1556.30496,-9.4
Fiber 3,1502320063.7298882,248.774,1551.2589,-15.32
Fiber 4,1502320063.7298882,248.774,1550.6016,-19.448


Fiber 1,1502320081.7599134,248.773,1553.74418,-10.524
Fiber 2,1502320081.7599134,248.773,1556.30568,-9.398
Fiber 3,1502320081.7599134,248.773,1551.2594,-15.348
Fiber 4,1502320081.7599134,248.773,1550.6022,-19.484


Fiber 1,1502320099.7299387,248.7715,1553.74458,-10.494
Fiber 2,1502320099.7299387,248.7715,1556.30566,-9.438
Fiber 3,1502320099.7299387,248.7715,1551.2605,-15.304
Fiber 4,1502320099.7299387,248.7715,1550.60248,-19.464


Fiber 1,1502320117.2299633,248.7715,1553.74464,-10.53
Fiber 2,1502320117.2299633,248.7715,1556.30604,-9.404
Fiber 3,1502320117.2299633,248.7715,1551.25974,-15.322
Fiber 4,1502320117.2299633,248.7715,1550.602,-19.444


Fiber 1,1502320134.7299876,248.7695,1553.74454,-10.48
Fiber 2,1502320134.7299876,248.7695,1556.30536,-9.406
Fiber 3,1502320134.7299876,248.7695,1551.25938,-15.394
Fiber 4,1502320134.7299876,248.7695,1550.60148,-19.392


Fiber 1,1502320152.740013,248.767,1553.74486,-10.532
Fiber 2,1502320152.740013,248.767,1556.30568,-9.426
Fiber 3,1502320152.740013,248.767,1551.25992,-15.388
Fiber 4,1502320152.740013,248.767,1550.60262,-19.462


Fiber 1,1502320171.2400389,248.76549999999997,1553.7448,-10.492
Fiber 2,1502320171.2400389,248.76549999999997,1556.30624,-9.41
Fiber 3,1502320171.2400389,248.76549999999997,1551.25912,-15.318
Fiber 4,1502320171.2400389,248.76549999999997,1550.60322,-19.492


Fiber 1,1502320189.2300642,248.76549999999997,1553.74484,-10.516
Fiber 2,1502320189.2300642,248.76549999999997,1556.30612,-9.384
Fiber 3,1502320189.2300642,248.76549999999997,1551.25952,-15.36
Fiber 4,1502320189.2300642,248.76549999999997,1550.60222,-19.438


Fiber 1,1502320207.2300892,248.764,1553.74452,-10.488
Fiber 2,1502320207.2300892,248.764,1556.30624,-9.374
Fiber 3,1502320207.2300892,248.764,1551.26048,-15.362
Fiber 4,1502320207.2300892,248.764,1550.6021,-19.386


Fiber 1,1502320225.2701144,248.764,1553.74536,-10.466
Fiber 2,1502320225.2701144,248.764,1556.3056,-9.412
Fiber 3,1502320225.2701144,248.764,1551.25928,-15.358
Fiber 4,1502320225.2701144,248.764,1550.60298,-19.422


Fiber 1,1502320242.740139,248.7645,1553.74476,-10.518
Fiber 2,1502320242.740139,248.7645,1556.306,-9.44
Fiber 3,1502320242.740139,248.7645,1551.25934,-15.342
Fiber 4,1502320242.740139,248.7645,1550.6015,-19.414


Fiber 1,1502320261.2401648,248.76549999999997,1553.74426,-10.536
Fiber 2,1502320261.2401648,248.76549999999997,1556.3063,-9.37
Fiber 3,1502320261.2401648,248.76549999999997,1551.25954,-15.346
Fiber 4,1502320261.2401648,248.76549999999997,1550.6026,-19.42


Fiber 1,1502320279.24019,248.76549999999997,1553.74524,-10.47
Fiber 2,1502320279.24019,248.76549999999997,1556.306,-9.408
Fiber 3,1502320279.24019,248.76549999999997,1551.25978,-15.342
Fiber 4,1502320279.24019,248.76549999999997,1550.60232,-19.408


Fiber 1,1502320297.230215,248.76549999999997,1553.745,-10.468
Fiber 2,1502320297.230215,248.76549999999997,1556.30592,-9.404
Fiber 3,1502320297.230215,248.76549999999997,1551.25998,-15.378
Fiber 4,1502320297.230215,248.76549999999997,1550.60256,-19.392


Fiber 1,1502320315.2502406,248.76749999999998,1553.74464,-10.512
Fiber 2,1502320315.2502406,248.76749999999998,1556.30582,-9.406
Fiber 3,1502320315.2502406,248.76749999999998,1551.25916,-15.376
Fiber 4,1502320315.2502406,248.76749999999998,1550.60202,-19.428


