Metadata
Fiber 1,Fiber 2,Fiber 3
1552.1362,1549.00394,1551.22442
1504053176.42296,1550.7881866666667,401.34749999999997

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)

Fiber 1,1504053176.422956,128.1975,1552.1362,-10.5
Fiber 2,1504053176.422956,128.1975,1549.00394,-8.926
Fiber 3,1504053176.422956,128.1975,1551.22442,-15.458


Fiber 1,1504053194.4429815,127.7715,1552.13422,-10.544
Fiber 2,1504053194.4429815,127.7715,1549.00004,-8.87
Fiber 3,1504053194.4429815,127.7715,1551.22488,-15.47


Fiber 1,1504053211.9130058,127.458,1552.13826,-10.582
Fiber 2,1504053211.9130058,127.458,1549.00016,-8.868
Fiber 3,1504053211.9130058,127.458,1551.2242,-15.512


Fiber 1,1504053229.4130304,127.2755,1552.14634,-10.548
Fiber 2,1504053229.4130304,127.2755,1549.00634,-8.87
Fiber 3,1504053229.4130304,127.2755,1551.22416,-15.504


Fiber 1,1504053246.923055,127.2435,1552.15852,-10.45
Fiber 2,1504053246.923055,127.2435,1549.01796,-8.862
Fiber 3,1504053246.923055,127.2435,1551.22326,-15.474


Fiber 1,1504053264.4230795,127.37,1552.17338,-10.542
Fiber 2,1504053264.4230795,127.37,1549.03198,-8.87
Fiber 3,1504053264.4230795,127.37,1551.22276,-15.476


Fiber 1,1504053836.943958,126.634,1552.12022,-10.498
Fiber 2,1504053836.943958,126.634,1548.98306,-8.846
Fiber 3,1504053836.943958,126.634,1551.22288,-15.462


Fiber 1,1504053854.933983,126.2415,1552.11906,-10.5
Fiber 2,1504053854.933983,126.2415,1548.98166,-8.882
Fiber 3,1504053854.933983,126.2415,1551.22296,-15.532


Fiber 1,1504053872.4440076,125.8865,1552.1185,-10.528
Fiber 2,1504053872.4440076,125.8865,1548.98014,-8.844
Fiber 3,1504053872.4440076,125.8865,1551.2236,-15.538


Fiber 1,1504053889.9340322,125.56899999999999,1552.11744,-10.47
Fiber 2,1504053889.9340322,125.56899999999999,1548.9796,-8.88
Fiber 3,1504053889.9340322,125.56899999999999,1551.223,-15.524


Fiber 1,1504053907.4940567,125.2835,1552.1179,-10.514
Fiber 2,1504053907.4940567,125.2835,1548.97894,-8.942
Fiber 3,1504053907.4940567,125.2835,1551.22396,-15.55


FBG 1,1504054713.9533987,124.4015,1552.13798,-10.524
FBG 2,1504054713.9533987,124.4015,1548.9987,-8.848
FBG 3,1504054713.9533987,124.4015,1551.22348,-15.51


FBG 1,1504055258.5632243,124.6215,1552.13896,-10.504
FBG 2,1504055258.5632243,124.6215,0,0
FBG 3,1504055258.5632243,124.6215,0,0


FBG 1,1504055264.9732332,124.623,0,0
FBG 2,1504055264.9732332,124.623,1549.00076,-8.864
FBG 3,1504055264.9732332,124.623,1551.22418,-15.488
FBG 1,1504055264.9732332,124.623,0,0
FBG 2,1504055264.9732332,124.623,1549.00076,-8.864
FBG 3,1504055264.9732332,124.623,1551.22418,-15.488


FBG 1,1504055276.4732492,124.6235,0,0
FBG 2,1504055276.4732492,124.6235,1548.99984,-8.872
FBG 3,1504055276.4732492,124.6235,1551.22418,-15.53
FBG 1,1504055276.4732492,124.6235,0,0
FBG 2,1504055276.4732492,124.6235,1548.99984,-8.872
FBG 3,1504055276.4732492,124.6235,1551.22418,-15.53


FBG 1,1504055282.4832575,124.6245,0,0
FBG 2,1504055282.4832575,124.6245,1548.99964,-8.894
FBG 3,1504055282.4832575,124.6245,1551.22378,-15.498
FBG 1,1504055282.4832575,124.6245,0,0
FBG 2,1504055282.4832575,124.6245,1548.99964,-8.894
FBG 3,1504055282.4832575,124.6245,1551.22378,-15.498


FBG 1,1504055293.9732738,124.6255,0,0
FBG 2,1504055293.9732738,124.6255,1548.99962,-8.866
FBG 3,1504055293.9732738,124.6255,1551.2238,-15.58
FBG 1,1504055293.9732738,124.6255,0,0
FBG 2,1504055293.9732738,124.6255,1548.99962,-8.866
FBG 3,1504055293.9732738,124.6255,1551.2238,-15.58


FBG 1,1504055300.483283,124.6265,0,0
FBG 2,1504055300.483283,124.6265,1549.00062,-8.894
FBG 3,1504055300.483283,124.6265,1551.22418,-15.518
FBG 1,1504055300.483283,124.6265,0,0
FBG 2,1504055300.483283,124.6265,1549.00062,-8.894
FBG 3,1504055300.483283,124.6265,1551.22418,-15.518


FBG 1,1504055311.993299,124.6275,0,0
FBG 2,1504055311.993299,124.6275,1548.99982,-8.904
FBG 3,1504055311.993299,124.6275,1551.22354,-15.528
FBG 1,1504055311.993299,124.6275,0,0
FBG 2,1504055311.993299,124.6275,1548.99982,-8.904
FBG 3,1504055311.993299,124.6275,1551.22354,-15.528


FBG 1,1504055317.9833076,124.6285,0,0
FBG 2,1504055317.9833076,124.6285,1548.99958,-8.912
FBG 3,1504055317.9833076,124.6285,1551.22406,-15.496
FBG 1,1504055317.9833076,124.6285,0,0
FBG 2,1504055317.9833076,124.6285,1548.99958,-8.912
FBG 3,1504055317.9833076,124.6285,1551.22406,-15.496


FBG 1,1504055322.4933138,124.629,0,0
FBG 2,1504055322.4933138,124.629,0,0
FBG 3,1504055322.4933138,124.629,0,0
FBG 1,1504055322.4933138,124.629,0,0
FBG 2,1504055322.4933138,124.629,0,0
FBG 3,1504055322.4933138,124.629,0,0
FBG 1,1504055322.4933138,124.629,0,0
FBG 2,1504055322.4933138,124.629,0,0
FBG 3,1504055322.4933138,124.629,0,0


FBG 1,1504055329.983324,124.63,0,0
FBG 2,1504055329.983324,124.63,0,0
FBG 3,1504055329.983324,124.63,0,0
FBG 1,1504055329.983324,124.63,0,0
FBG 2,1504055329.983324,124.63,0,0
FBG 3,1504055329.983324,124.63,0,0
FBG 1,1504055329.983324,124.63,0,0
FBG 2,1504055329.983324,124.63,0,0
FBG 3,1504055329.983324,124.63,0,0


FBG 1,1504055336.4833333,124.6305,0,0
FBG 2,1504055336.4833333,124.6305,0,0
FBG 3,1504055336.4833333,124.6305,0,0
FBG 1,1504055336.4833333,124.6305,0,0
FBG 2,1504055336.4833333,124.6305,0,0
FBG 3,1504055336.4833333,124.6305,0,0
FBG 1,1504055336.4833333,124.6305,0,0
FBG 2,1504055336.4833333,124.6305,0,0
FBG 3,1504055336.4833333,124.6305,0,0


FBG 1,1504055340.483339,124.6315,0,0
FBG 2,1504055340.483339,124.6315,0,0
FBG 3,1504055340.483339,124.6315,0,0
FBG 1,1504055340.483339,124.6315,0,0
FBG 2,1504055340.483339,124.6315,0,0
FBG 3,1504055340.483339,124.6315,0,0
FBG 1,1504055340.483339,124.6315,0,0
FBG 2,1504055340.483339,124.6315,0,0
FBG 3,1504055340.483339,124.6315,0,0


FBG 1,1504055461.983509,124.642,1552.1396,-10.516
FBG 2,1504055461.983509,124.642,1549.00094,-8.904
FBG 3,1504055461.983509,124.642,1551.22384,-15.536


FBG 1,1504055469.9835203,124.6425,1552.14,-10.486
FBG 2,1504055469.9835203,124.6425,1549.00038,-8.918
FBG 3,1504055469.9835203,124.6425,1551.22404,-15.5


FBG 1,1504055479.973534,124.6435,1552.13972,-10.488
FBG 2,1504055479.973534,124.6435,1549.00094,-8.866
FBG 3,1504055479.973534,124.6435,1551.22442,-15.522


