Caldata
FBG 1,FBG 2,FBG 3
1552.0151,1548.88866,0
1505441738.38797,1033.6345866666668,666.8544999999999

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm),Drift Rate(mK/min),Real Point

FBG 1,1505441738.387969,393.7045,1552.0151,-10.77, False, 0.0
FBG 2,1505441738.387969,393.7045,1548.88866,-9.082, False, 0.0
FBG 3,1505441738.387969,393.7045,0,0, False, 0.0


FBG 1,1505441801.4780574,391.795,1552.02884,-10.762, True, 0.05970899244189179
FBG 2,1505441801.4780574,391.795,1548.88924,-9.062, True, 0.05970899244189179
FBG 3,1505441801.4780574,391.795,0,0, True, 0.05970899244189179


FBG 1,1505441807.3880656,391.7335,1552.03254,-10.77, False, 0.0
FBG 2,1505441807.3880656,391.7335,1548.89286,-9.04, False, 0.0
FBG 3,1505441807.3880656,391.7335,0,0, False, 0.0


FBG 1,1505441870.9181545,392.0025,1552.08666,-10.732, True, 0.06004119894633154
FBG 2,1505441870.9181545,392.0025,1548.9453,-9.036, True, 0.06004119894633154
FBG 3,1505441870.9181545,392.0025,0,0, True, 0.06004119894633154


FBG 1,1505442121.4005394,395.629,0,0, False, 0.0
FBG 2,1505442121.4005394,395.629,0,0, False, 0.0
FBG 3,1505442121.4005394,395.629,0,0, False, 0.0
FBG 1,1505442121.4005394,395.629,0,0, False, 0.0
FBG 2,1505442121.4005394,395.629,0,0, False, 0.0
FBG 3,1505442121.4005394,395.629,0,0, False, 0.0


