Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.7432,1556.30502,1551.84144,1550.59868
1501109679.620152,1553.1220850000002,248.843

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)

Fiber 1,1501109679.620152,248.843,1553.7432,-10.498
Fiber 2,1501109679.620152,248.843,1556.30502,-9.38
Fiber 3,1501109679.620152,248.843,1551.84144,-15.244
Fiber 4,1501109679.620152,248.843,1550.59868,-19.228


Fiber 1,1501109697.1301768,248.841,1553.74328,-10.496
Fiber 2,1501109697.1301768,248.841,1556.30518,-9.432
Fiber 3,1501109697.1301768,248.841,1551.84164,-15.246
Fiber 4,1501109697.1301768,248.841,1550.59858,-19.156


Fiber 1,1501109715.1202018,248.8385,1553.74326,-10.492
Fiber 2,1501109715.1202018,248.8385,1556.30404,-9.39
Fiber 3,1501109715.1202018,248.8385,1551.84134,-15.248
Fiber 4,1501109715.1202018,248.8385,1550.59838,-19.254


Fiber 1,1501109733.120227,248.837,1553.7428,-10.496
Fiber 2,1501109733.120227,248.837,1556.30544,-9.416
Fiber 3,1501109733.120227,248.837,1551.84156,-15.254
Fiber 4,1501109733.120227,248.837,1550.5982,-19.18


Fiber 1,1501109750.6202514,248.8365,1553.74224,-10.486
Fiber 2,1501109750.6202514,248.8365,1556.30468,-9.36
Fiber 3,1501109750.6202514,248.8365,1551.84124,-15.258
Fiber 4,1501109750.6202514,248.8365,1550.59736,-19.172


Fiber 1,1501109768.120276,248.835,1553.74258,-10.52
Fiber 2,1501109768.120276,248.835,1556.30404,-9.408
Fiber 3,1501109768.120276,248.835,1551.8414,-15.216
Fiber 4,1501109768.120276,248.835,1550.59822,-19.222


Fiber 1,1501109785.6303008,248.83350000000002,1553.74282,-10.498
Fiber 2,1501109785.6303008,248.83350000000002,1556.30472,-9.424
Fiber 3,1501109785.6303008,248.83350000000002,1551.8418,-15.18
Fiber 4,1501109785.6303008,248.83350000000002,1550.59746,-19.192


Fiber 1,1501109803.120325,248.833,1553.74318,-10.498
Fiber 2,1501109803.120325,248.833,1556.30482,-9.386
Fiber 3,1501109803.120325,248.833,1551.84196,-15.224
Fiber 4,1501109803.120325,248.833,1550.59812,-19.188


Fiber 1,1501109820.6303496,248.833,1553.74314,-10.508
Fiber 2,1501109820.6303496,248.833,1556.30478,-9.392
Fiber 3,1501109820.6303496,248.833,1551.84154,-15.204
Fiber 4,1501109820.6303496,248.833,1550.59856,-19.252


Fiber 1,1501109838.1303742,248.8305,1553.74338,-10.442
Fiber 2,1501109838.1303742,248.8305,1556.30488,-9.384
Fiber 3,1501109838.1303742,248.8305,1551.84176,-15.236
Fiber 4,1501109838.1303742,248.8305,1550.59834,-19.21


Fiber 1,1501109856.1303992,248.83350000000002,1553.74282,-10.548
Fiber 2,1501109856.1303992,248.83350000000002,1556.30478,-9.374
Fiber 3,1501109856.1303992,248.83350000000002,1551.84138,-15.216
Fiber 4,1501109856.1303992,248.83350000000002,1550.59792,-19.202


Fiber 1,1501109873.6304238,248.83350000000002,1553.74348,-10.548
Fiber 2,1501109873.6304238,248.83350000000002,1556.3046,-9.424
Fiber 3,1501109873.6304238,248.83350000000002,1551.8419,-15.202
Fiber 4,1501109873.6304238,248.83350000000002,1550.59816,-19.18


Fiber 1,1501109891.1304483,248.8345,1553.74288,-10.546
Fiber 2,1501109891.1304483,248.8345,1556.3046,-9.398
Fiber 3,1501109891.1304483,248.8345,1551.84166,-15.266
Fiber 4,1501109891.1304483,248.8345,1550.59848,-19.198


Fiber 1,1501109908.640473,248.8345,1553.74356,-10.516
Fiber 2,1501109908.640473,248.8345,1556.30468,-9.408
Fiber 3,1501109908.640473,248.8345,1551.84202,-15.214
Fiber 4,1501109908.640473,248.8345,1550.59908,-19.262


Fiber 1,1501109926.1304972,248.835,1553.74306,-10.498
Fiber 2,1501109926.1304972,248.835,1556.30458,-9.414
Fiber 3,1501109926.1304972,248.835,1551.84104,-15.252
Fiber 4,1501109926.1304972,248.835,1550.59816,-19.252


Fiber 1,1501109944.620523,248.834,1553.74318,-10.51
Fiber 2,1501109944.620523,248.834,1556.30426,-9.402
Fiber 3,1501109944.620523,248.834,1551.84146,-15.236
Fiber 4,1501109944.620523,248.834,1550.59834,-19.238


Fiber 1,1501109962.1205475,248.837,1553.74274,-10.508
Fiber 2,1501109962.1205475,248.837,1556.3046,-9.468
Fiber 3,1501109962.1205475,248.837,1551.84148,-15.282
Fiber 4,1501109962.1205475,248.837,1550.5981,-19.222


Fiber 1,1501109979.620572,248.8395,1553.74316,-10.516
Fiber 2,1501109979.620572,248.8395,1556.30382,-9.426
Fiber 3,1501109979.620572,248.8395,1551.84188,-15.274
Fiber 4,1501109979.620572,248.8395,1550.59872,-19.204


Fiber 1,1501109997.6305974,248.8435,1553.74316,-10.516
Fiber 2,1501109997.6305974,248.8435,1556.30482,-9.336
Fiber 3,1501109997.6305974,248.8435,1551.84128,-15.224
Fiber 4,1501109997.6305974,248.8435,1550.59788,-19.216


Fiber 1,1501110015.120622,248.8465,1553.74368,-10.51
Fiber 2,1501110015.120622,248.8465,1556.30478,-9.412
Fiber 3,1501110015.120622,248.8465,1551.84192,-15.296
Fiber 4,1501110015.120622,248.8465,1550.59846,-19.224


Fiber 1,1501110032.6206465,248.84750000000003,1553.74382,-10.558
Fiber 2,1501110032.6206465,248.84750000000003,1556.30518,-9.324
Fiber 3,1501110032.6206465,248.84750000000003,1551.842,-15.262
Fiber 4,1501110032.6206465,248.84750000000003,1550.5976,-19.162


Fiber 1,1501110095.6207345,248.854,1553.74312,-10.486
Fiber 2,1501110095.6207345,248.854,1556.30466,-9.436
Fiber 3,1501110095.6207345,248.854,1551.84096,-15.3
Fiber 4,1501110095.6207345,248.854,1550.59734,-19.198


Fiber 1,1501110158.140822,248.86149999999998,1553.74394,-10.552
Fiber 2,1501110158.140822,248.86149999999998,1556.30532,-9.41
Fiber 3,1501110158.140822,248.86149999999998,1551.84198,-15.246
Fiber 4,1501110158.140822,248.86149999999998,1550.59832,-19.21


Fiber 1,1501110221.1309102,248.865,1553.74294,-10.502
Fiber 2,1501110221.1309102,248.865,1556.30534,-9.396
Fiber 3,1501110221.1309102,248.865,1551.8411,-15.182
Fiber 4,1501110221.1309102,248.865,1550.59894,-19.3


Fiber 1,1501110283.6309977,248.8665,1553.7438,-10.502
Fiber 2,1501110283.6309977,248.8665,1556.30552,-9.386
Fiber 3,1501110283.6309977,248.8665,1551.84138,-15.24
Fiber 4,1501110283.6309977,248.8665,1550.59916,-19.324


Fiber 1,1501110347.1410868,248.86950000000002,1553.74348,-10.46
Fiber 2,1501110347.1410868,248.86950000000002,1556.30458,-9.412
Fiber 3,1501110347.1410868,248.86950000000002,1551.84158,-15.27
Fiber 4,1501110347.1410868,248.86950000000002,1550.59926,-19.274


Fiber 1,1501110410.171175,248.8665,1553.74386,-10.524
Fiber 2,1501110410.171175,248.8665,1556.30556,-9.408
Fiber 3,1501110410.171175,248.8665,1551.8415,-15.242
Fiber 4,1501110410.171175,248.8665,1550.59834,-19.276


Fiber 1,1501110473.141263,248.8675,1553.74368,-10.51
Fiber 2,1501110473.141263,248.8675,1556.30514,-9.416
Fiber 3,1501110473.141263,248.8675,1551.84118,-15.282
Fiber 4,1501110473.141263,248.8675,1550.59936,-19.286


Fiber 1,1501110535.6413507,248.865,1553.7433,-10.512
Fiber 2,1501110535.6413507,248.865,1556.3051,-9.364
Fiber 3,1501110535.6413507,248.865,1551.84146,-15.33
Fiber 4,1501110535.6413507,248.865,1550.59892,-19.306


Fiber 1,1501110598.651439,248.85950000000003,1553.74346,-10.476
Fiber 2,1501110598.651439,248.85950000000003,1556.30582,-9.394
Fiber 3,1501110598.651439,248.85950000000003,1551.84116,-15.218
Fiber 4,1501110598.651439,248.85950000000003,1550.59882,-19.288


Fiber 1,1501110661.1515265,248.8545,1553.74298,-10.472
Fiber 2,1501110661.1515265,248.8545,1556.305,-9.314
Fiber 3,1501110661.1515265,248.8545,1551.84154,-15.2
Fiber 4,1501110661.1515265,248.8545,1550.59926,-19.284


Fiber 1,1501110724.6416152,248.853,1553.74298,-10.52
Fiber 2,1501110724.6416152,248.853,1556.30526,-9.388
Fiber 3,1501110724.6416152,248.853,1551.84136,-15.332
Fiber 4,1501110724.6416152,248.853,1550.5985,-19.262


Fiber 1,1501110787.6517034,248.84949999999998,1553.74318,-10.504
Fiber 2,1501110787.6517034,248.84949999999998,1556.30428,-9.38
Fiber 3,1501110787.6517034,248.84949999999998,1551.8415,-15.284
Fiber 4,1501110787.6517034,248.84949999999998,1550.59858,-19.256


Fiber 1,1501110850.1517909,248.85,1553.74336,-10.51
Fiber 2,1501110850.1517909,248.85,1556.3043,-9.412
Fiber 3,1501110850.1517909,248.85,1551.84118,-15.358
Fiber 4,1501110850.1517909,248.85,1550.59888,-19.342


Fiber 1,1501110913.161879,248.85250000000002,1553.74356,-10.522
Fiber 2,1501110913.161879,248.85250000000002,1556.30546,-9.37
Fiber 3,1501110913.161879,248.85250000000002,1551.84168,-15.332
Fiber 4,1501110913.161879,248.85250000000002,1550.59926,-19.294


Fiber 1,1501110975.391966,248.8545,1553.74316,-10.466
Fiber 2,1501110975.391966,248.8545,1556.30506,-9.4
Fiber 3,1501110975.391966,248.8545,1551.8412,-15.314
Fiber 4,1501110975.391966,248.8545,1550.59752,-19.266


Fiber 1,1501111038.152054,248.855,1553.74384,-10.506
Fiber 2,1501111038.152054,248.855,1556.3058,-9.376
Fiber 3,1501111038.152054,248.855,1551.84218,-15.308
Fiber 4,1501111038.152054,248.855,1550.59876,-19.302


Fiber 1,1501111101.1621423,248.857,1553.74342,-10.494
Fiber 2,1501111101.1621423,248.857,1556.3046,-9.406
Fiber 3,1501111101.1621423,248.857,1551.84122,-15.258
Fiber 4,1501111101.1621423,248.857,1550.59904,-19.31


Fiber 1,1501111163.6622298,248.857,1553.74354,-10.474
Fiber 2,1501111163.6622298,248.857,1556.3052,-9.4
Fiber 3,1501111163.6622298,248.857,1551.8413,-15.282
Fiber 4,1501111163.6622298,248.857,1550.59798,-19.308


Fiber 1,1501111227.1723187,248.853,1553.74342,-10.498
Fiber 2,1501111227.1723187,248.853,1556.30538,-9.4
Fiber 3,1501111227.1723187,248.853,1551.84146,-15.34
Fiber 4,1501111227.1723187,248.853,1550.5983,-19.306


Fiber 1,1501111289.6624062,248.8515,1553.74322,-10.504
Fiber 2,1501111289.6624062,248.8515,1556.30478,-9.334
Fiber 3,1501111289.6624062,248.8515,1551.8413,-15.306
