Caldata
FBG 1,FBG 2,FBG 3
1551.8843,1548.758,1550.5489
1504927574.02982,1550.3970666666671,656.983

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm),Drift Rate(mK/min),Real Point

FBG 1,1504927574.0298245,383.83299999999997,1551.8843,-10.458, False, 0.0
FBG 2,1504927574.0298245,383.83299999999997,1548.758,-8.854, False, 0.0
FBG 3,1504927574.0298245,383.83299999999997,1550.5489,-16.082, False, 0.0


FBG 1,1504927639.0999155,381.552,1551.9021,-10.446, True, 0.059643436104104726
FBG 2,1504927639.0999155,381.552,1548.76094,-8.846, True, 0.059643436104104726
FBG 3,1504927639.0999155,381.552,1550.5478,-16.02, True, 0.059643436104104726


FBG 1,1504927645.5499246,381.481,1551.90754,-10.432, False, 0.0
FBG 2,1504927645.5499246,381.481,1548.76698,-8.874, False, 0.0
FBG 3,1504927645.5499246,381.481,1550.54774,-16.06, False, 0.0


FBG 1,1504927709.1000135,382.1705,1551.98114,-10.512, True, 0.06010844322968175
FBG 2,1504927709.1000135,382.1705,1548.84396,-8.914, True, 0.06010844322968175
FBG 3,1504927709.1000135,382.1705,1550.54662,-16.04, True, 0.06010844322968175


FBG 1,1504927717.0400248,382.3895,1551.99276,-10.472, False, 0.0
FBG 2,1504927717.0400248,382.3895,1548.85574,-8.888, False, 0.0
FBG 3,1504927717.0400248,382.3895,1550.54692,-16.01, False, 0.0


FBG 1,1504927781.560115,385.307,1552.05858,-10.444, True, 0.06045777671419954
FBG 2,1504927781.560115,385.307,1548.92022,-8.882, True, 0.06045777671419954
FBG 3,1504927781.560115,385.307,1550.54802,-16.014, True, 0.06045777671419954


FBG 1,1504927789.5601263,385.576,1552.06472,-10.456, False, 0.0
FBG 2,1504927789.5601263,385.576,1548.9243,-8.78, False, 0.0
FBG 3,1504927789.5601263,385.576,1550.54854,-16.008, False, 0.0


FBG 1,1504927854.5702171,389.363,1552.12846,-10.46, True, 0.06058929754656528
FBG 2,1504927854.5702171,389.363,1548.98928,-8.85, True, 0.06058929754656528
FBG 3,1504927854.5702171,389.363,1550.54856,-16.062, True, 0.06058929754656528


